original_species,mapped_species,accession,feature_location,product,sequence_length,search_level,status,ncbi_url,notes
Larus fuscus,Larus canus kamtschatschensis,OR242962.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242962.1,
Phalaropus fulicarius,Phalaropus fulicarius,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Phalaropus fulicarius,Phalaropus tricolor,DQ674619.1,[0:1599](+),16S ribosomal RNA,1599,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/DQ674619.1,
Larus delawarensis,Larus delawarensis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus delawarensis,Larus canus kamtschatschensis,OR242961.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242961.1,
Xema sabini,Xema sabini,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Xema sabini,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Thalasseus sandvicensis,Thalasseus sandvicensis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Thalasseus sandvicensis,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Larus brachyrhynchus,Larus brachyrhynchus,OR242960.1,[1142:2706](+),16S ribosomal RNA,1564,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242960.1,
Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chroicocephalus novaehollandiae,Chroicocephalus ridibundus,MN122820.1,[1146:2701](+),16S ribosomal RNA,1555,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN122820.1,
Larus schistisagus,Larus schistisagus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus schistisagus,Larus brachyrhynchus,OR242958.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242958.1,
Charadrius nivosus,Charadrius nivosus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Charadrius nivosus,Charadrius dubius,PQ356201.1,[1140:2708](+),16S ribosomal RNA,1568,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ356201.1,
Sterna hirundinacea,Sterna hirundinacea,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Sterna hirundinacea,Sterna dougallii bangsi,LC541472.1,[4152:5747](+),16S ribosomal RNA,1595,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/LC541472.1,
Burhinus oedicnemus,Burhinus oedicnemus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Burhinus oedicnemus,Burhinus bistriatus,PQ068721.1,[<0:>575](+),large subunit ribosomal RNA,575,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ068721.1,
Thalasseus acuflavidus,Thalasseus acuflavidus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Thalasseus acuflavidus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Larus glaucoides thayeri,Larus glaucoides thayeri,,,,,DIRECT,ONLY_DUPLICATE_16S_DIRECT,,Only duplicate 16S sequences found at species level; existing species: Larus glaucoides
Larus glaucoides thayeri,Larus brachyrhynchus,OR242957.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242957.1,
Calidris mauri,Calidris mauri,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Calidris mauri,Calidris alpina pacifica,OR242859.1,[1145:2715](+),16S ribosomal RNA,1570,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242859.1,
Charadrius nivosus nivosus,Charadrius nivosus nivosus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Charadrius nivosus nivosus,Charadrius dubius,PQ356199.1,[1116:2708](+),16S ribosomal RNA,1592,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ356199.1,
Anastomus oscitans,Anastomus oscitans,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anastomus oscitans,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Leptoptilos crumenifer,Leptoptilos crumenifer,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Leptoptilos crumenifer,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Falco biarmicus,Falco biarmicus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Falco biarmicus,Falco tinnunculus,LC880099.1,[1146:2719](+),16S ribosomal RNA,1573,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/LC880099.1,
Falco chicquera,Falco chicquera,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Falco chicquera,Falco sparverius,JQ627249.1,[<0:>582](+),16S ribosomal RNA,582,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/JQ627249.1,
Phasianus torquatus,Phasianus torquatus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Phasianus torquatus,Phasianus versicolor,LC880102.1,[1120:2723](+),16S ribosomal RNA,1603,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/LC880102.1,
Meleagris gallopavo domesticus,Meleagris gallopavo domesticus,PP840326.1,[1113:2731](+),16S ribosomal RNA,1618,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PP840326.1,
Lagopus lagopus scotica,Lagopus lagopus scotica,OR242945.1,[1112:2717](+),16S ribosomal RNA,1605,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242945.1,
Alectoris rufa,Alectoris rufa,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Alectoris rufa,Alectoris chukar,PQ622922.1,[<0:>521](+),large subunit ribosomal RNA,521,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ622922.1,
Chlamydotis undulata,Chlamydotis undulata,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chlamydotis undulata,Chlamydotis macqueenii,MN356124.1,[1115:2712](+),16S ribosomal RNA,1597,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN356124.1,
Bombycilla cedrorum,Bombycilla cedrorum,KJ909187.1,[1119:2707](+),16S ribosomal RNA,1588,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/KJ909187.1,
Lonchura atricapilla,Lonchura atricapilla,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Lonchura atricapilla,Lonchura stygia,NC_036408.1,[1121:2713](+),16S ribosomal RNA,1592,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_036408.1,
Coloeus dauuricus,Coloeus dauuricus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Coloeus dauuricus,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,Genus-level search found only duplicate 16S sequences; existing species: Coloeus monedula
Agropsar sturninus,Agropsar sturninus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Agropsar sturninus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Sialia sialis,Sialia sialis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Sialia sialis,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Corvus tristis,Corvus tristis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Corvus tristis,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Pica pica (if Eurasian),Pica pica (if Eurasian),PV716264.1,[<0:>109](+),large subunit ribosomal RNA,109,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV716264.1,
Corvus caurinus,Corvus caurinus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Corvus caurinus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Anthus rufulus,Anthus rufulus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anthus rufulus,Anthus australis,PQ723582.1,[1111:2708](+),16S ribosomal RNA,1597,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ723582.1,
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Acrocephalus schoenobaenus,Acrocephalus newtoni,PV911316.1,[<0:>310](+),large subunit ribosomal RNA,310,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911316.1,
Lanius spp.,Lanius spp.,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Lanius spp.,Lanius collurio,PQ451724.1,[<0:>817](+),large subunit ribosomal RNA,817,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ451724.1,
Hirundinidae spp.,Hirundinidae spp.,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Hirundinidae spp.,Riparia paludicola,PV911391.1,[<0:>307](+),large subunit ribosomal RNA,307,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911391.1,
